zipCode	feeType	isActive	juso
15654	ISOLATED	TRUE	경기도 안산시 단원구 풍도동 풍도길 2-35
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 대빈창길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 대빈창길98번길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 아차도길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 주문도1길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 주문도1길6번길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 주문도길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 주문도길241번길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 주문도길243번길
23008	ISOLATED	TRUE	인천광역시 강화군 서도면 주문도길94번길
23009	ISOLATED	TRUE	인천광역시 강화군 삼산면 미법길
23009	ISOLATED	TRUE	인천광역시 강화군 삼산면 미법길73번길
23009	ISOLATED	TRUE	인천광역시 강화군 삼산면 서검길
23009	ISOLATED	TRUE	인천광역시 강화군 삼산면 서검길153번길
23009	ISOLATED	TRUE	인천광역시 강화군 삼산면 서검길156번길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 말도길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 말도길77번길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 볼음도길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 볼음도길131번길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 볼음도길177번길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 볼음도길186번길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 볼음도길200번길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 볼음도길251번길
23010	ISOLATED	TRUE	인천광역시 강화군 서도면 볼음도길385번길
23100	ISOLATED	TRUE	인천광역시 옹진군 백령면 관창길
23100	ISOLATED	TRUE	인천광역시 옹진군 백령면 두무진로
23100	ISOLATED	TRUE	인천광역시 옹진군 백령면 두무진로
23100	ISOLATED	TRUE	인천광역시 옹진군 백령면 두무진로556번길
23101	ISOLATED	TRUE	인천광역시 옹진군 백령면 관창길
23101	ISOLATED	TRUE	인천광역시 옹진군 백령면 백령남로
